Warning: truncated output (original token count: 108069)
Total output lines: 1538

CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,HardEventStepCount,HardEventEligibleFraction,HardEventOnsetCount,HardEventEpisodeCount,HardEventEpisodeFraction,HardEventCellCount,HardEventFamilyCount,GrowthOnlyEpisodeCount,GrowthOnlyCellCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,PositionForecastPositiveCount,AttitudeForecastPositiveCount,VelocityForecastPositiveCount,BodyRateForecastPositiveCount,ConstraintForecastPositiveCount,SaturationForecastPositiveCount,NonfiniteForecastPositiveCount,FirstPositionEventCount,FirstAttitudeEventCount,FirstVelocityEventCount,FirstBodyRateEventCount,FirstConstraintEventCount,FirstSaturationEventCount,FirstNonfiniteEventCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C057,0.1,5,0.75,2,1.5,3,477900,466839,0.976854990583804,23772,0.0497426239799121,0.0509211955299364,2166,953,0.352962962962963,117,5,8221,0.0176099254775201,628,249,0.0922222222222222,86,5,902,113,7861,797,4450,3576,0,1677,461,354,0,4092,2980,0,954,395,296,0,15551,16.2291771832408,20,20
C058,0.1,5,0.75,2,1.5,5,477900,466839,0.976854990583804,23182,0.0485080560786775,0.0496573765259543,1969,943,0.349259259259259,115,5,8221,0.0176099254775201,628,249,0.0922222222222222,86,5,886,109,7861,797,4450,3576,0,1677,461,354,0,4092,2980,0,954,395,296,0,14961,16.1332067983781,20,20
C059,0.1,5,0.75,2,2,3,477900,466839,0.976854990583804,16282,0.0340698890981377,0.0348771203776891,1503,699,0.258888888888889,112,5,8221,0.0176099254775201,628,249,0.0922222222222222,86,5,625,103,7861,797,4450,3576,0,1677,461,354,0,4092,2980,0,954,395,296,0,8061,14.4945338410515,20,20
C060,0.1,5,0.75,2,2,5,477900,466839,0.976854990583804,16050,0.0335844318895166,0.03438016104053,1399,693,0.256666666666667,110,5,8221,0.0176099254775201,628,249,0.0922222222222222,86,5,612,99,7861,797,4450,3576,0,1677,461,354,0,4092,2980,0,954,395,296,0,7829,14.414953271028,20,20
C061,0.1,5,0.75,3,1.25,3,477900,466979,0.977147938899351,29937,0.0626428123038293,0.0641078078457489,2598,1027,0.38037037037037,118,5,7898,0.0169129661076836,625,246,0.0911111111111111,84,5,985,114,7466,802,4489,3665,8,241,461,359,0,4094,3360,0,10,395,297,0,22039,17.1204529511975,20,20
C062,0.1,5,0.75,3,1.25,5,477900,466979,0.977147938899351,28373,0.0593701611215735,0.0607586208373396,2272,1009,0.373703703703704,115,5,7898,0.0169129661076836,625,246,0.0911111111111111,84,5,962,110,7466,802,4489,3665,8,241,461,359,0,4094,3360,0,10,395,297,0,20475,16.9617241743911,20,20
C063,0.1,5,0.75,3,1.5,3,477900,466979,0.977147938899351,23331,0.0488198367859385,0.0499615614406644,2139,943,0.349259259259259,117,5,7898,0.0169129661076836,625,246,0.0911111111111111,84,5,895,112,7466,802,4489,3665,8,241,461,359,0,4094,3360,0,10,395,297,0,15433,16.3051305130513,20,20
C064,0.1,5,0.75,3,1.5,5,477900,466979,0.977147938899351,22741,0.0475852688847039,0.0486981213287964,1942,932,0.345185185185185,115,5,7898,0.0169129661076836,625,246,0.0911111111111111,84,5,878,109,7466,802,4489,3665,8,241,461,359,0,4094,3360,0,10,395,297,0,14843,16.2092696011609,20,20
C065,0.1,5,0.75,3,2,3,477900,466979,0.977147938899351,15893,0.0332559112785102,0.0340336503354541,1477,685,0.253703703703704,110,5,7898,0.0169129661076836,625,246,0.0911111111111111,84,5,615,100,7466,802,4489,3665,8,241,461,359,0,4094,3360,0,10,395,297,0,7995,14.5759139243692,20,20
C066,0.1,5,0.75,3,2,5,477900,466979,0.977147938899351,15654,0.0327558066541117,0.0335218500189516,1372,681,0.252222222222222,109,5,7898,0.0169129661076836,625,246,0.0911111111111111,84,5,605,97,7466,802,4489,3665,8,241,461,359,0,4094,3360,0,10,395,297,0,7756,14.4931008049061,20,20
