CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C091,0.1,20,1,1,1.25,3,477900,466709,0.976582967147939,30945,0.064752040175769,0.0663046995022594,2654,980,0.362962962962963,120,5,11971,783,18913,15.8042656325739,20,20
C092,0.1,20,1,1,1.25,5,477900,466709,0.976582967147939,29660,0.0620631931366395,0.063551377839296,2314,949,0.351481481481482,114,5,11971,783,17628,15.6224881995954,20,20
C093,0.1,20,1,1,1.5,3,477900,466709,0.976582967147939,23715,0.049623352165725,0.0508132476553913,2225,832,0.308148148148148,117,5,11971,783,11683,14.5251106894371,20,20
C094,0.1,20,1,1,1.5,5,477900,466709,0.976582967147939,23220,0.0485875706214689,0.0497526295828878,2005,811,0.30037037037037,113,5,11971,783,11188,14.4083979328165,20,20
C095,0.1,20,1,1,2,3,477900,466709,0.976582967147939,17039,0.0356539024900607,0.0365088309846178,1690,591,0.218888888888889,109,5,11971,783,5007,12.3800105640002,13,20
C096,0.1,20,1,1,2,5,477900,466709,0.976582967147939,16814,0.035183092697217,0.0360267318607526,1550,575,0.212962962962963,107,5,11971,783,4782,12.2780421077673,13,20
C097,0.15,5,0.3,1,1.25,3,477900,474719,0.993343795773174,22912,0.0479430843272651,0.0482643416421083,2326,779,0.288518518518519,118,5,8840,764,14012,15.7424930167598,20,20
C098,0.15,5,0.3,1,1.25,5,477900,474719,0.993343795773174,21902,0.045829671479389,0.0461367672244001,2092,769,0.284814814814815,114,5,8840,764,13002,15.5461601680212,20,20
C099,0.15,5,0.3,1,1.5,3,477900,474719,0.993343795773174,19224,0.040225988700565,0.0404955352534868,2129,731,0.270740740740741,117,5,8840,764,10324,14.9257178526841,20,20
C100,0.15,5,0.3,1,1.5,5,477900,474719,0.993343795773174,18638,0.0389997907512032,0.0392611207893512,1926,721,0.267037037037037,111,5,8840,764,9738,14.7661766283936,20,20
C101,0.15,5,0.3,1,2,3,477900,474719,0.993343795773174,14398,0.0301276417660598,0.0303295212536258,1607,571,0.211481481481481,111,5,8840,764,5498,13.2248923461592,15,20
C102,0.15,5,0.3,1,2,5,477900,474719,0.993343795773174,14119,0.0295438376229337,0.0297418051521005,1474,561,0.207777777777778,105,5,8840,764,5219,13.0910121113393,15,20
C103,0.15,5,0.5,1,1.25,3,477900,474860,0.99363883657669,23141,0.0484222640719816,0.0487322579286527,2382,784,0.29037037037037,120,5,8964,764,14117,15.7088284862366,20,20
C104,0.15,5,0.5,1,1.25,5,477900,474860,0.99363883657669,22062,0.0461644695543001,0.0464600092658889,2117,775,0.287037037037037,115,5,8964,764,13038,15.4989574834557,20,20
C105,0.15,5,0.5,1,1.5,3,477900,474860,0.99363883657669,19256,0.0402929483155472,0.0405508992123994,2123,716,0.265185185185185,117,5,8964,764,10232,14.8430619027835,20,20
C106,0.15,5,0.5,1,1.5,5,477900,474860,0.99363883657669,18669,0.0390646578782172,0.0393147453986438,1907,708,0.262222222222222,112,5,8964,764,9645,14.6809148856393,20,20
C107,0.15,5,0.5,1,2,3,477900,474860,0.99363883657669,14152,0.0296128897258841,0.0298024680958598,1571,541,0.20037037037037,112,5,8964,764,5128,12.9831825890334,15,20
C108,0.15,5,0.5,1,2,5,477900,474860,0.99363883657669,13891,0.0290667503661854,0.0292528324137641,1449,533,0.197407407407407,108,5,8964,764,4867,12.8513425959254,14,20
C109,0.15,5,0.75,1,1.25,3,477900,474860,0.99363883657669,23180,0.0485038711027412,0.0488143873983911,2390,783,0.29,121,5,8964,764,14156,15.7160483175151,20,20
C110,0.15,5,0.75,1,1.25,5,477900,474860,0.99363883657669,22117,0.0462795563925507,0.0465758328770585,2116,773,0.286296296296296,116,5,8964,764,13093,15.5101505629154,20,20
C111,0.15,5,0.75,1,1.5,3,477900,474860,0.99363883657669,19218,0.0402134337727558,0.0404708756265004,2117,709,0.262592592592593,117,5,8964,764,10194,14.8328650223749,20,20
C112,0.15,5,0.75,1,1.5,5,477900,474860,0.99363883657669,18646,0.0390165306549487,0.0392663100703365,1894,700,0.259259259259259,112,5,8964,764,9622,14.6743537487933,20,20
C113,0.15,5,0.75,1,2,3,477900,474860,0.99363883657669,14101,0.0295061728395062,0.029695068020048,1586,533,0.197407407407407,112,5,8964,764,5077,12.9578044110347,15,20
C114,0.15,5,0.75,1,2,5,477900,474860,0.99363883657669,13848,0.028976773383553,0.0291622794086678,1460,526,0.194814814814815,109,5,8964,764,4824,12.8291450028885,14,20
C115,0.15,5,1,1,1.25,3,477900,474860,0.99363883657669,23189,0.0485227034944549,0.0488333403529461,2397,781,0.289259259259259,121,5,8964,764,14165,15.717710983656,20,20
C116,0.15,5,1,1,1.25,5,477900,474860,0.99363883657669,22145,0.0463381460556602,0.046634797624563,2123,770,0.285185185185185,116,5,8964,764,13121,15.5158275005645,20,20
C117,0.15,5,1,1,1.5,3,477900,474860,0.99363883657669,19207,0.0401904164051057,0.0404477109042665,2118,709,0.262592592592593,118,5,8964,764,10183,14.8299057635237,20,20
C118,0.15,5,1,1,1.5,5,477900,474860,0.99363883657669,18641,0.0390060682151078,0.0392557806511393,1894,701,0.25962962962963,113,5,8964,764,9617,14.6729252722493,20,20
